,CUSTOMER_CODE,CUSTOMER_NAME,YEAR,MONTH,SUB_CUSTOMER_CODE,SUB_CUSTOMER_NAME,A9,A9-S,ATMT,C&S,C4,C4 SG,C9,CAP,CVS,Compact ATS,D3N,DP_Basic,E7,E9,EDM_x,EVS,EZD,EZS,EZS-S,Enclosure,FUPACT,HMI,INSm,KTS,KTS-C,KTS-C-保利,LEC,LS8,M_x,M9,MET_Anologic Meter & CT,MET_Basic,MET_DIN Rail Basic,MT,MTZ,MVS,Motion,NSX,Osmart,Other,P-H,P-M,PR,PR-保利,PRS,S-MA,S-OEM,S-SW,SPD_x,TVR,TeSys-D,TeSys-G,V_x,WATSG,WATSK,WATSN,WATSN&WATSG,WATSNK,WEFP,WG,WGR,WM5G,WP5,WPFP,WQ5,WTS,iARC,iPEU,iSCB,ACB,ATS,C,DPLVP.DIS,DPLVP.Dist,EA,EDM_y,M_y,MCB,MCCB,P,PCP,S,SPD_y,V_y,MONTH_AGG
56,99301,杭州海得电气科技有限公司,2022,1,CP99049222,杭州欧惠电气工程有限公司,,,,4917.27,,,,,,,18747.75,,,1278.58,,,7014.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4917.27,,,,,,1278.58,7014.8,,18747.75,,,,31958.4
57,99301,杭州海得电气科技有限公司,2022,1,CP99050482,浙江双琪电气有限公司,59451.742,,,15866.47,,,,,56419.87,,161514.83,,,356.74,,,108277.37,,,,,,,,,,,,,,,,,,,,,67985.84,36116.32,,,,,,,,,,,,329149.3,,,,,,,,,,,,,,,,,,,,,51982.79,,,,,,59808.48,232683.1,,490664.12,,,,835138.5
58,99301,杭州海得电气科技有限公司,2022,1,CP99051272,武义灵创电气设备有限公司,,,,1893.8,,,,,,,962.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411.51,,,,,,,,,,,,,,,,,,,,,1893.8,,,,,,,,,2373.9102,,,,4267.71
59,99301,杭州海得电气科技有限公司,2022,1,CP99051904,广东伟创五洋智能设备有限公司,3372.04,,,,,,,,,,11293.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209.7402,,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,,,2209.7402,,,,,,3372.04,,,11359.649,,,,16941.43
60,99301,杭州海得电气科技有限公司,2022,1,CP99051942,宁波长荣酿造设备有限公司,4102.94,,,3850.19,,,,,2063.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.46,,,,,,,,,,,,,7807.79,,,,,,,,,,,,,,,,,,,,,3850.19,,,,,,4102.94,3259.82,,7807.79,,,,19020.74
61,99301,杭州海得电气科技有限公司,2022,1,CP99052266,浙江京能电力设备有限公司,2009.77,,,1308.13,,,,,,,,,,864.77,,,,,,,,,,,,,,,,,,,,,,,,,2105.54,,,,,,,,,,,,2019.27,,,,,,,,,,,,,,,,,,,,,3413.67,,,,,,2874.54,,,2019.27,,,,8307.48
62,99301,杭州海得电气科技有限公司,2022,1,CP99053078,伟明环保设备有限公司,8565.71,,,5151.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6955.57,653.1,,,,,,,,,,,,17659.19,,,,,,,,,,,,,,,,,,,,,5804.92,,,,,,8565.71,6955.57,,17659.19,,,,38985.39
63,99301,杭州海得电气科技有限公司,2022,1,CP99053079,浙江星控信息技术有限公司,,,,4881.7603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.4,,,,,,,,,,,,,,,,,,,,,4881.7603,,,,,,,,,783.4,,,,5665.16
64,99301,杭州海得电气科技有限公司,2022,1,CP99053128,杭州海纳机械有限公司,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,,,,,,,22.22
65,99301,杭州海得电气科技有限公司,2022,1,CP99053135,浙江南腾电气有限公司,,,,,,,,,,,,,,,,,,,,,15314.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15314.83,,,,,,15314.83
66,99301,杭州海得电气科技有限公司,2022,1,CP99053450,湖州杰创环保科技有限公司,,,,2254.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024.64,,,,,,,,,,,,,1138.78,,,,,,,,,,,,,,,,,,,,,2254.08,,,,,,,5024.64,,1138.78,,,,8417.5
67,99301,杭州海得电气科技有限公司,2022,1,CP99053699,浙江南开电气有限公司,,,,707.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.61,,,,,,,,,,,,,707.61
68,99301,杭州海得电气科技有限公司,2022,1,CP99054098,杭州正工仓信息科技有限公司,,,,94.770004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.22,,41.2,,,,,,,,,,669.03,,,,,,,,,,,,,,,,,,,,,1949.99,,,,,,,,41.2,669.03,,,,2660.22
69,99301,杭州海得电气科技有限公司,2022,1,CP99054118,苏州特琅施电气有限公司,,,,1507.42,,,,,3185.45,,70814.96,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.02,,,,,,,,,,,,,246810.42,,,,,,,,,,,,,,,,,,,,,1507.42,,,,,,,5248.4697,,317625.38,,,,324381.25
70,99301,杭州海得电气科技有限公司,2022,1,CP99054261,温州市顺康贸易有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428749.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428749.88,,,,,,428749.88
71,99301,杭州海得电气科技有限公司,2022,1,CP99054296,衢州市骏凯电气有限公司,3661.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.5599,,,,,,,,,,,,,,,,,,,,,,,,,,,3661.15,,,1531.5599,,,,5192.71
72,99301,杭州海得电气科技有限公司,2022,1,CP99062679,俊郎电气有限公司,3365.12,59.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.51,,,,,,,,,,,,,,,,,,,,,,,,,,,3424.84,,,208.51,,,,3633.35
73,99301,杭州海得电气科技有限公司,2022,1,CP99062796,福建航电控制设备有限责任公司,,,,,,,,,842.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519.03,,,,,,3519.03
74,99301,杭州海得电气科技有限公司,2022,1,CP99064063,福建世高智能科技有限公司,,,,9646.45,,,,,,,,,,442.48,3173.1,,,,,,,,,,,,,,,,,,,,,,,,6807.62,,,,,,,,,,,,10818.53,,,,,,,,,,,,,,,,,,,,,16454.07,,,,3173.1,,442.48,,,10818.53,,,,30888.18
